연도,시도,회사,구분,길이
2005,인천,인천,공급관,671172.0
2005,인천,인천,본관,238723.0
2005,전남,대화,공급관,20263.0
2005,전남,대화,본관,81771.0
2005,전남,목포,공급관,80774.0
2005,전남,목포,본관,68143.0
2005,전남,전남,공급관,77264.0
2005,전남,전남,본관,99841.0
2005,전남,해양,공급관,14382.0
2005,전남,해양,본관,9455.0
2005,전북,군산,공급관,26668.0
2005,전북,군산,본관,71821.0
2005,전북,익산,공급관,66120.0
2005,전북,익산,본관,58029.0
2005,전북,전북,공급관,302013.0
2005,전북,전북,본관,166733.0
2005,제주,제주e,공급관,4280.0
2005,제주,제주e,본관,8988.0
2005,충남,서해,공급관,23648.0
2005,충남,서해,본관,96264.0
2005,충남,중부,공급관,233585.0
2005,충남,중부,본관,371492.0
2005,충남,충남,공급관,8002.0
2005,충남,충남,본관,7455.0
2005,충북,참빛충북,공급관,20303.0
2005,충북,참빛충북,본관,39072.0
2005,충북,청주,공급관,351075.0
2005,충북,청주,본관,173193.0
2006,강원,강원,공급관,170360.0
2006,강원,강원,본관,69339.0
2006,강원,참빛,공급관,8256.0
2006,강원,참빛,본관,28220.0
2006,강원,참빛영동,공급관,12392.0
2006,강원,참빛영동,본관,45027.0
2006,강원,참빛원주,공급관,125226.0
2006,강원,참빛원주,본관,100738.0
2006,경기,대한,공급관,810086.0
2006,경기,대한,본관,404800.0
2006,경기,삼천리,공급관,2283481.0
2006,경기,삼천리,본관,1213425.0
2006,경기,서울,공급관,393919.0
2006,경기,서울,본관,256617.0
2006,경기,예스코,공급관,209126.0
2006,경기,예스코,본관,158894.0
2006,경기,인천,공급관,0.0
2006,경기,인천,본관,28151.0
2006,경기,한진,공급관,252844.0
2006,경기,한진,본관,148939.0
2006,경남,경남,공급관,686249.0
2006,경남,경남,본관,437009.0
2006,경남,경동,공급관,105417.0
2006,경남,경동,본관,96345.0
2006,경남,지에스이,공급관,51097.0
2006,경남,지에스이,본관,86661.0
2006,경북,경북,공급관,48411.0
2006,경북,경북,본관,46509.0
2006,경북,구미,공급관,304138.0
2006,경북,구미,본관,180117.0
2006,경북,대구,공급관,98814.0
2006,경북,대구,본관,87291.0
2006,경북,서라벌,공급관,77371.0
2006,경북,서라벌,본관,76861.0
2006,경북,포항,공급관,245725.0
2006,경북,포항,본관,139293.0
2006,광주,해양,공급관,617075.0
2006,광주,해양,본관,249411.0
2006,대구,대구,공급관,1027991.0
2006,대구,대구,본관,514881.0
2006,대전,충남,공급관,567899.0
2006,대전,충남,본관,311352.0
2006,부산,부산,공급관,1001250.0
2006,부산,부산,본관,599881.0
2006,서울,강남,공급관,426390.0
2006,서울,강남,본관,127050.0
2006,서울,대한,공급관,925015.0
2006,서울,대한,본관,398417.0
2006,서울,서울,공급관,2436147.0
2006,서울,서울,본관,408560.0
2006,서울,예스코,공급관,1514327.0
2006,서울,예스코,본관,319795.0
2006,서울,한진,공급관,596883.0
2006,서울,한진,본관,129970.0
2006,울산,경동,공급관,726480.0
2006,울산,경동,본관,325179.0
2006,인천,삼천리,공급관,457802.0
2006,인천,삼천리,본관,224913.0
2006,인천,인천,공급관,688990.0
2006,인천,인천,본관,254684.0
2006,전남,대화,공급관,21339.0
2006,전남,대화,본관,84145.0
2006,전남,목포,공급관,90868.0
2006,전남,목포,본관,74748.0
2006,전남,전남,공급관,93227.0
2006,전남,전남,본관,100847.0
2006,전남,해양,공급관,26160.0
2006,전남,해양,본관,32744.0
2006,전북,군산,공급관,28607.0
2006,전북,군산,본관,74621.0
2006,전북,익산,공급관,77572.0
2006,전북,익산,본관,59552.0
2006,전북,전북,공급관,350160.0
2006,전북,전북,본관,176954.0
2006,제주,제주e,공급관,9093.0
2006,제주,제주e,본관,16269.0
2006,충남,서해,공급관,36774.0
2006,충남,서해,본관,127266.0
2006,충남,중부,공급관,268844.0
2006,충남,중부,본관,408918.0
2006,충남,충남,공급관,9755.0
2006,충남,충남,본관,8069.0
2006,충북,참빛충북,공급관,33996.0
2006,충북,참빛충북,본관,43392.0
2006,충북,청주,공급관,387811.0
2006,충북,청주,본관,205948.0
2007,강원,강원,공급관,185536.0
2007,강원,강원,본관,74695.0
2007,강원,참빛,공급관,9315.0
2007,강원,참빛,본관,28261.0
2007,강원,참빛영동,공급관,18893.0
2007,강원,참빛영동,본관,47087.0
2007,강원,참빛원주,공급관,137414.0
2007,강원,참빛원주,본관,106080.0
2007,경기,대한,공급관,816548.0
2007,경기,대한,본관,415734.0
2007,경기,삼천리,공급관,2402285.0
2007,경기,삼천리,본관,1241030.0
2007,경기,서울,공급관,434820.0
2007,경기,서울,본관,263336.0
2007,경기,예스코,공급관,216383.0
2007,경기,예스코,본관,162293.0
2007,경기,인천,공급관,1937.0
2007,경기,인천,본관,31653.0
2007,경기,한진,공급관,266497.0
2007,경기,한진,본관,152624.0
2007,경남,경남,공급관,751294.0
2007,경남,경남,본관,453547.0
2007,경남,경동,공급관,120713.0
2007,경남,경동,본관,99964.0
2007,경남,지에스이,공급관,56446.0
2007,경남,지에스이,본관,98660.0
2007,경북,경북,공급관,52384.0
2007,경북,경북,본관,47480.0
2007,경북,대구,공급관,102549.0
2007,경북,대구,본관,89257.0
2007,경북,서라벌,공급관,84385.0
2007,경북,서라벌,본관,90173.0
2007,경북,영남ES,공급관,332267.0
2007,경북,영남ES,본관,187600.0
2007,경북,포항,공급관,277197.0
2007,경북,포항,본관,145286.0
2007,광주,해양,공급관,714195.0
2007,광주,해양,본관,261390.0
2007,대구,대구,공급관,1069303.0
2007,대구,대구,본관,528381.0
2007,대전,충남,공급관,635533.0
2007,대전,충남,본관,325518.0
2007,부산,부산,공급관,1153035.0
2007,부산,부산,본관,615221.0
2007,서울,강남,공급관,426120.0
2007,서울,강남,본관,128365.0
2007,서울,대한,공급관,923105.0
2007,서울,대한,본관,402985.0
2007,서울,서울,공급관,2468347.0
2007,서울,서울,본관,411468.0
2007,서울,예스코,공급관,1520973.0
2007,서울,예스코,본관,321859.0
2007,서울,한진,공급관,600039.0
2007,서울,한진,본관,131513.0
2007,울산,경동,공급관,777524.0
2007,울산,경동,본관,327972.0
2007,인천,삼천리,공급관,476264.0
2007,인천,삼천리,본관,226907.0
2007,인천,인천,공급관,712721.0
2007,인천,인천,본관,257675.0
2007,전남,대화,공급관,22499.0
2007,전남,대화,본관,87792.0
2007,전남,목포,공급관,104196.0
2007,전남,목포,본관,83699.0
2007,전남,전남,공급관,118206.0
2007,전남,전남,본관,103391.0
2007,전남,해양,공급관,26902.0
2007,전남,해양,본관,35943.0
2007,전북,군산,공급관,38951.0
2007,전북,군산,본관,81777.0
2007,전북,전북,공급관,413048.0
2007,전북,전북,본관,186036.0
2007,전북,전북ES,공급관,92147.0
2007,전북,전북ES,본관,62421.0
2007,제주,제주e,공급관,11265.0
2007,제주,제주e,본관,18256.0
2007,충남,서해,공급관,44697.0
2007,충남,서해,본관,143699.0
2007,충남,중부,공급관,305756.0
2007,충남,중부,본관,430857.0
2007,충남,충남,공급관,11969.0
2007,충남,충남,본관,8476.0
2007,충북,참빛충북,공급관,37455.0
2007,충북,참빛충북,본관,44644.0
2007,충북,충청ES,공급관,412967.0
2007,충북,충청ES,본관,242724.0
2008,강원,강원,공급관,194031.0
2008,강원,강원,본관,83874.0
2008,강원,참빛,공급관,10483.0
2008,강원,참빛,본관,28406.0
2008,강원,참빛영동,공급관,19040.0
2008,강원,참빛영동,본관,49399.0
2008,강원,참빛원주,공급관,151752.0
2008,강원,참빛원주,본관,108952.0
2008,경기,대한,공급관,828784.0
2008,경기,대한,본관,428873.0
2008,경기,삼천리,공급관,2522821.0
2008,경기,삼천리,본관,1319890.0
2008,경기,서울,공급관,469192.0
2008,경기,서울,본관,275391.0
2008,경기,예스코,공급관,239390.0
2008,경기,예스코,본관,170712.0
2008,경기,인천,공급관,3071.0
2008,경기,인천,본관,33919.0
2008,경기,한진,공급관,294025.0
2008,경기,한진,본관,170549.0
2008,경남,경남,공급관,814608.0
2008,경남,경남,본관,479392.0
2008,경남,경동,공급관,137282.0
2008,경남,경동,본관,107095.0
2008,경남,지에스이,공급관,66746.0
2008,경남,지에스이,본관,104639.0
2008,경북,경북,공급관,53752.0
2008,경북,경북,본관,57955.0
2008,경북,대구,공급관,116363.0
2008,경북,대구,본관,92253.0
2008,경북,서라벌,공급관,93918.0
2008,경북,서라벌,본관,97647.0
2008,경북,영남ES,공급관,360369.0
2008,경북,영남ES,본관,206603.0
2008,경북,포항,공급관,301128.0
2008,경북,포항,본관,152929.0
2008,광주,해양,공급관,774158.0
2008,광주,해양,본관,273252.0
2008,대구,대구,공급관,1134495.0
2008,대구,대구,본관,539793.0
2008,대전,충남,공급관,710865.0
2008,대전,충남,본관,333359.0
2008,부산,부산,공급관,1308837.0
2008,부산,부산,본관,628493.0
2008,서울,강남,공급관,426491.0
2008,서울,강남,본관,126435.0
2008,서울,대한,공급관,911942.0
2008,서울,대한,본관,406478.0
2008,서울,서울,공급관,2477676.0
2008,서울,서울,본관,416197.0
2008,서울,예스코,공급관,1497000.0
2008,서울,예스코,본관,322691.0
2008,서울,한진,공급관,598773.0
2008,서울,한진,본관,131853.0
2008,울산,경동,공급관,844234.0
2008,울산,경동,본관,349727.0
2008,인천,삼천리,공급관,485042.0
2008,인천,삼천리,본관,231133.0
2008,인천,인천,공급관,745893.0
2008,인천,인천,본관,261871.0
2008,전남,대화,공급관,25843.0
2008,전남,대화,본관,92655.0
2008,전남,목포,공급관,112239.0
2008,전남,목포,본관,93870.0
2008,전남,전남,공급관,135074.0
2008,전남,전남,본관,111585.0
2008,전남,해양,공급관,28942.0
2008,전남,해양,본관,40659.0
2008,전북,군산,공급관,76228.0
2008,전북,군산,본관,84384.0
2008,전북,전북,공급관,481921.0
2008,전북,전북,본관,192444.0
2008,전북,전북ES,공급관,106718.0
2008,전북,전북ES,본관,72947.0
2008,제주,제주e,공급관,15150.0
2008,제주,제주e,본관,27230.0
2008,충남,서해,공급관,77590.0
2008,충남,서해,본관,157358.0
2008,충남,중부,공급관,366472.0
2008,충남,중부,본관,474189.0
2008,충남,충남,공급관,14778.0
2008,충남,충남,본관,10001.0
2008,충북,참빛충북,공급관,46570.0
2008,충북,참빛충북,본관,54937.0
2008,충북,충청ES,공급관,443308.0
2008,충북,충청ES,본관,264747.0
2009,강원,강원,공급관,214127.0
2009,강원,강원,본관,90704.0
2009,강원,참빛,공급관,11352.0
2009,강원,참빛,본관,28936.0
2009,강원,참빛영동,공급관,21596.0
2009,강원,참빛영동,본관,60925.0
2009,강원,참빛원주,공급관,162250.0
2009,강원,참빛원주,본관,110348.0
2009,경기,대륜,공급관,320684.0
2009,경기,대륜,본관,176288.0
2009,경기,대한,공급관,910405.0
2009,경기,대한,본관,455139.0
2009,경기,삼천리,공급관,2615174.0
2009,경기,삼천리,본관,1366683.0
2009,경기,서울,공급관,528281.0
2009,경기,서울,본관,284985.0
2009,경기,예스코,공급관,248957.0
2009,경기,예스코,본관,199201.0
2009,경기,인천,공급관,4724.0
2009,경기,인천,본관,41666.0
2009,경남,경남,공급관,851176.0
2009,경남,경남,본관,489228.0
2009,경남,경동,공급관,142049.0
2009,경남,경동,본관,107739.0
2009,경남,지에스이,공급관,89094.0
2009,경남,지에스이,본관,108857.0
2009,경북,경북,공급관,57951.0
2009,경북,경북,본관,58444.0
2009,경북,대구,공급관,126262.0
2009,경북,대구,본관,93470.0
2009,경북,서라벌,공급관,99520.0
2009,경북,서라벌,본관,119314.0
2009,경북,영남ES,공급관,375050.0
2009,경북,영남ES,본관,214888.0
2009,경북,포항,공급관,323836.0
2009,경북,포항,본관,157157.0
2009,광주,해양,공급관,831569.0
2009,광주,해양,본관,278184.0
2009,대구,대구,공급관,1194220.0
2009,대구,대구,본관,542219.0
2009,대전,충남,공급관,768005.0
2009,대전,충남,본관,338993.0
2009,부산,부산,공급관,1405041.0
2009,부산,부산,본관,654461.0
2009,서울,강남,공급관,426781.0
2009,서울,강남,본관,127243.0
2009,서울,대륜,공급관,599981.0
2009,서울,대륜,본관,131960.0
2009,서울,대한,공급관,987460.0
2009,서울,대한,본관,347559.0
2009,서울,서울,공급관,2487971.0
2009,서울,서울,본관,419305.0
2009,서울,예스코,공급관,1488668.0
2009,서울,예스코,본관,320604.0
2009,울산,경동,공급관,897667.0
2009,울산,경동,본관,370530.0
2009,인천,삼천리,공급관,499978.0
2009,인천,삼천리,본관,238147.0
2009,인천,인천,공급관,772769.0
2009,인천,인천,본관,267679.0
2009,전남,대화,공급관,38081.0
2009,전남,대화,본관,93937.0
2009,전남,목포,공급관,121251.0
2009,전남,목포,본관,97538.0
2009,전남,전남,공급관,151600.0
2009,전남,전남,본관,107312.0
2009,전남,해양,공급관,29919.0
2009,전남,해양,본관,50228.0
2009,전북,군산,공급관,106103.0
2009,전북,군산,본관,87244.0
2009,전북,전북,공급관,544745.0
2009,전북,전북,본관,193265.0
2009,전북,전북ES,공급관,114329.0
2009,전북,전북ES,본관,76889.0
2009,제주,제주,공급관,15563.0
2009,제주,제주,본관,28535.0
2009,충남,서해,공급관,90713.0
2009,충남,서해,본관,186445.0
2009,충남,중부,공급관,414645.0
2009,충남,중부,본관,503793.0
2009,충남,충남,공급관,17292.0
2009,충남,충남,본관,10013.0
2009,충북,참빛충북,공급관,49090.0
2009,충북,참빛충북,본관,61285.0
2009,충북,충청ES,공급관,455389.0
2009,충북,충청ES,본관,288130.0
2010,강원,강원,공급관,225368.0
2010,강원,강원,본관,120597.0
2010,강원,참빛,공급관,11549.0
2010,강원,참빛,본관,29116.0
2010,강원,참빛영동,공급관,26708.0
2010,강원,참빛영동,본관,63989.0
2010,강원,참빛원주,공급관,163551.0
2010,강원,참빛원주,본관,116070.0
2010,경기,대륜,공급관,342451.0
2010,경기,대륜,본관,194653.0
2010,경기,대한,공급관,953583.0
2010,경기,대한,본관,465148.0
2010,경기,삼천리,공급관,2711023.0
2010,경기,삼천리,본관,1395668.0
2010,경기,서울,공급관,595652.0
2010,경기,서울,본관,304587.0
2010,경기,예스코,공급관,245717.0
2010,경기,예스코,본관,232844.0
2010,경기,인천,공급관,5131.0
2010,경기,인천,본관,42694.0
2010,경남,경남,공급관,904510.0
2010,경남,경남,본관,512229.0
2010,경남,경동,공급관,157447.0
2010,경남,경동,본관,109426.0
2010,경남,지에스이,공급관,103799.0
2010,경남,지에스이,본관,122628.0
2010,경북,경북,공급관,61420.0
2010,경북,경북,본관,62240.0
2010,경북,대성,공급관,129929.0
2010,경북,대성,본관,94361.0
2010,경북,서라벌,공급관,102821.0
2010,경북,서라벌,본관,132259.0
2010,경북,영남ES,공급관,379118.0
2010,경북,영남ES,본관,239185.0
2010,경북,포항,공급관,339443.0
